name,rating,reviews,category,address_lane1,phone,status,website,maps_url
Right at Home,4.5,,Home health care service,1050 Chinoe Rd #101,,Open 24 hours,https://www.rightathome.net/lexington/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=1343,https://www.google.com/maps/place/Right+at+Home/data=!4m7!3m6!1s0x88425ae009a37a8b:0xb083e2467827abd7!8m2!3d37.9978598!4d-84.4803948!16s%2Fg%2F124sx6nr7!19sChIJi3qjCeBaQogR16sneEbig7A?authuser=0&hl=en&rclk=1
Senior Helpers,4.9,,Home health care service,3070 Harrodsburg Rd Ste #240,,Open 24 hours,https://www.seniorhelpers.com/ky/bluegrass/?utm_source=google&utm_medium=organic&utm_campaign=gmb,https://www.google.com/maps/place/Senior+Helpers/data=!4m7!3m6!1s0x88425cd06ab6fd2d:0xfc24f65f8450c697!8m2!3d38.0124661!4d-84.5549086!16s%2Fg%2F1tgnmrt4!19sChIJLf22atBcQogRl8ZQhF_2JPw?authuser=0&hl=en&rclk=1
Canaan House Inc,4.4,,Non-profit organization,379 S Broadway Park,,,https://www.2preslex.org/canaan-house,https://www.google.com/maps/place/Canaan+House+Inc/data=!4m7!3m6!1s0x884244a2f772e47f:0x780f93183a5767d6!8m2!3d38.0391224!4d-84.5135882!16s%2Fg%2F1tcw49cc!19sChIJf-Ry96JEQogR1mdXOhiTD3g?authuser=0&hl=en&rclk=1
Harbison Shores Assisted Living and Memory Care,3.9,,Assisted living facility,990 Columbia Ave,,Open 24 hours,https://harbisonshores.com/,https://www.google.com/maps/place/Harbison+Shores+Assisted+Living+and+Memory+Care/data=!4m7!3m6!1s0x88f898a4eea38d7d:0x3e7dc1e31f08356!8m2!3d34.0874131!4d-81.1729839!16s%2Fg%2F11cjnq6cy9!19sChIJfY2j7qSY-IgRVoPwMR7c5wM?authuser=0&hl=en&rclk=1
Comfort Keepers Home Care of Lexington,4.8,,Home health care service,3228 Summit Square Pl #260,,Open 24 hours,https://www.comfortkeepers.com/offices/kentucky/lexington/?utm_source=GMB&utm_medium=organic,https://www.google.com/maps/place/Comfort+Keepers+Home+Care+of+Lexington/data=!4m7!3m6!1s0x88425b9f47710b15:0x51db569b13cb00ef!8m2!3d38.0006273!4d-84.442603!16s%2Fg%2F11wfskqr7z!19sChIJFQtxR59bQogR7wDLE5tW21E?authuser=0&hl=en&rclk=1
Central Christian Church Apartments,4.5,,Low income housing program,249 E Short St,,Closed · Opens 8 AM Tue,http://www.centralchurchapts.com/,https://www.google.com/maps/place/Central+Christian+Church+Apartments/data=!4m7!3m6!1s0x884244e8df26972f:0x3525ed5681732bd3!8m2!3d38.0446201!4d-84.4929749!16s%2Fg%2F1tfl0x2r!19sChIJL5cm3-hEQogR0ytzgVbtJTU?authuser=0&hl=en&rclk=1
Fs Lafayette Tenant Trust,,,Assisted living facility,700 Mason Headley Rd,,,,https://www.google.com/maps/place/Fs+Lafayette+Tenant+Trust/data=!4m7!3m6!1s0x8842435bc0cb6a75:0xe5aee8e5b8febc6e!8m2!3d38.035018!4d-84.5287097!16s%2Fg%2F12609j2kn!19sChIJdWrLwFtDQogRbrz-uOXoruU?authuser=0&hl=en&rclk=1
Fairington of Lexington,4.4,,Apartment complex,3501 Laredo Dr,,Closed · Opens 9 AM Tue,https://www.fairingtonlexington.com/,https://www.google.com/maps/place/Fairington+of+Lexington/data=!4m7!3m6!1s0x88425b7038a81491:0x245651b947f9c452!8m2!3d37.9861601!4d-84.5084751!16s%2Fg%2F1tgcb5sb!19sChIJkRSoOHBbQogRUsT5R7lRViQ?authuser=0&hl=en&rclk=1
The Residence at Bedford,4.9,,Assisted living facility,240 South Rd,,Open 24 hours,https://www.lcbseniorliving.com/communities/the-residence-at-bedford/,https://www.google.com/maps/place/The+Residence+at+Bedford/data=!4m7!3m6!1s0x89e39f10fe1a2779:0x6262828aabcf62e9!8m2!3d42.4797192!4d-71.269146!16s%2Fg%2F11t7c1cd_0!19sChIJeSca_hCf44kR6WLPq4qCYmI?authuser=0&hl=en&rclk=1
LIBERTY COMMONS,2.7,,Apartment complex,2101 Cornerstone Dr,,Closed · Opens 8 AM Tue,https://mansermar.com/our-communities/liberty-commons/,https://www.google.com/maps/place/LIBERTY+COMMONS/data=!4m7!3m6!1s0x8842455b721bbd03:0x7403965ad73f93a4!8m2!3d38.0313186!4d-84.4447853!16s%2Fg%2F1tcx_j32!19sChIJA70bcltFQogRpJM_11qWA3Q?authuser=0&hl=en&rclk=1
